SatName,Plane_ID,Sequence_Order,Inclination,RAAN,Arg_Lat,Mean_Motion
STARLINK-33760,79,5,42.98211263399283,130.6606622204626,69.62395333505405,15.08838934
STARLINK-33907,79,6,42.98226612162456,130.58690004802082,90.77861847694929,15.08837696
STARLINK-31396,79,7,42.98312846262535,130.93328520514925,104.67497840620388,15.08840645
STARLINK-5771,79,8,42.99242974837526,130.93284443563496,238.1216209405721,15.08843719
STARLINK-5766,79,9,42.99104761633738,130.90656781983958,245.87571589586992,15.0883967
STARLINK-33933,79,10,42.97857264143995,130.86190495110006,281.21218830459117,15.08840266
STARLINK-5943,79,11,42.988709231942245,130.74907023140128,293.0539709793496,15.088386690000002
STARLINK-5945,79,12,42.99041129128685,130.7468641622087,295.3730426761873,15.08843432
STARLINK-5793,79,13,42.992654033664344,130.71649765870603,301.74988125542916,15.08840824
STARLINK-5782,79,14,42.99477994731648,130.7147496079375,302.43716481002434,15.088376979999998
STARLINK-33824,79,15,43.0085488264544,130.87159414363668,323.5016603066914,15.088424849999999
STARLINK-5912,79,16,43.01340813664365,130.65337316633241,334.34049006171136,15.08840912
STARLINK-5907,79,17,43.016499193632164,130.64735352356712,337.7731714239833,15.088362530000001
STARLINK-5790,79,18,43.02115411611762,130.60732454665754,351.9517150729401,15.08839286
STARLINK-5934,79,19,43.02262846286906,130.61663429077228,358.99715550625524,15.08848261
STARLINK-36967,81,1,43.017311372738625,134.1337315557752,9.2220799715558,15.08836911
STARLINK-36953,81,2,43.00323349297773,134.04169517451032,45.07668145697718,15.088453269999999
STARLINK-36991,81,3,42.988410347033,134.01663960646533,65.56270414028667,15.088257110000002
STARLINK-36968,81,4,42.98252638234403,134.00390001813543,72.38247021603283,15.08834501
STARLINK-36985,81,5,42.98173962791358,133.90933095496456,87.39618516084172,15.08836923
STARLINK-36988,81,6,42.97652380149516,133.91128314003112,93.68247506614328,15.08849624
STARLINK-36936,81,7,42.98815109133697,133.85181587890594,108.41039715545148,15.088369849999998
STARLINK-36994,81,8,42.990066947817304,133.84904148041667,114.91892214534475,15.088356020000003
STARLINK-36926,81,9,43.002771551152726,133.7872756340672,136.26456791464474,15.08836691
STARLINK-36931,81,10,43.01585300613802,133.75072744799434,151.0694139020547,15.08827758
STARLINK-36910,81,11,42.99482065683788,134.47275759865943,229.25550570473862,15.088522699999999
STARLINK-36957,81,12,42.99343706485322,134.47537975448134,234.3892445281823,15.088170400000001
STARLINK-36951,81,13,42.98274250110817,134.4156680635884,255.57756387817352,15.08838101
STARLINK-36941,81,14,42.979762044534155,134.38382970559059,269.56038272122305,15.08837875
STARLINK-36889,81,15,42.983460703761565,134.301831962505,284.4799882457952,15.088015699999998
STARLINK-36950,81,16,42.984186351772045,134.3023485523889,290.96932357112206,15.088342729999999
STARLINK-36592,81,17,42.99594421003729,134.2290469358027,305.77324208625816,15.08843926
STARLINK-36975,81,18,42.99781232139314,134.238396150371,312.1723387994296,15.08837242
STARLINK-36911,81,19,43.01066427229792,134.1823513484861,327.03572866657345,15.088440969999999
STARLINK-36993,81,20,43.012251624026035,134.17500107887753,333.4971546667459,15.08822976
STARLINK-36956,81,21,43.02032674566606,134.14779497380596,348.06780236950584,15.08840157
STARLINK-36979,81,22,43.01848126185925,134.14174742508573,354.56647307882804,15.088426640000002
STARLINK-30925,84,1,43.019855433263125,137.97955977536836,3.892324709112451,15.088369189999998
STARLINK-33925,84,2,43.02069182078803,137.615694742114,11.331352777843039,15.08833915
STARLINK-30952,84,3,43.0180273151473,137.96441117545186,17.954639942640654,15.088379170000001
STARLINK-11443 [DTC],84,4,43.01560011422698,137.96302223380198,20.69259559830665,15.08858976
STARLINK-33951,84,5,43.01191303186148,137.5902751637024,25.484356285461054,15.08836542
STARLINK-33869,84,6,43.00700606484674,137.5761425200886,32.58356921310753,15.088359499999997
STARLINK-30949,84,7,43.00643506280044,137.894282085345,39.1741473656563,15.08839025
STARLINK-33870,84,8,43.000184438920215,137.55264585907898,46.57714831957734,15.088388689999999
